2015-07-13 18:15:32 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:15:32 	 CRITICAL 		 e-------------Live:

2015-07-13 18:15:56 	 CRITICAL 		 s-------------Live:

2015-07-13 18:15:57 	 ERROR 		 GsmInit ERROR

2015-07-13 18:15:57 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:15:57 	 CRITICAL 		 e-------------Live:

2015-07-13 18:16:21 	 CRITICAL 		 s-------------Live:

2015-07-13 18:16:22 	 ERROR 		 GsmInit ERROR

2015-07-13 18:16:22 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:16:22 	 CRITICAL 		 e-------------Live:

2015-07-13 18:16:46 	 CRITICAL 		 s-------------Live:

2015-07-13 18:16:47 	 ERROR 		 GsmInit ERROR

2015-07-13 18:16:47 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:16:47 	 CRITICAL 		 e-------------Live:

2015-07-13 18:17:11 	 CRITICAL 		 s-------------Live:

2015-07-13 18:17:12 	 ERROR 		 GsmInit ERROR

2015-07-13 18:17:12 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:17:12 	 CRITICAL 		 e-------------Live:

2015-07-13 18:17:36 	 CRITICAL 		 s-------------Live:

2015-07-13 18:17:38 	 ERROR 		 GsmInit ERROR

2015-07-13 18:17:38 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:17:38 	 CRITICAL 		 e-------------Live:

2015-07-13 18:18:02 	 CRITICAL 		 s-------------Live:

2015-07-13 18:18:03 	 ERROR 		 GsmInit ERROR

2015-07-13 18:18:03 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:18:03 	 CRITICAL 		 e-------------Live:

2015-07-13 18:18:27 	 CRITICAL 		 s-------------Live:

2015-07-13 18:18:28 	 ERROR 		 GsmInit ERROR

2015-07-13 18:18:28 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:18:28 	 CRITICAL 		 e-------------Live:

2015-07-13 18:18:52 	 CRITICAL 		 s-------------Live:

2015-07-13 18:18:53 	 ERROR 		 GsmInit ERROR

2015-07-13 18:18:53 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:18:53 	 CRITICAL 		 e-------------Live:

2015-07-13 18:19:18 	 CRITICAL 		 s-------------Live:

2015-07-13 18:19:19 	 ERROR 		 GsmInit ERROR

2015-07-13 18:19:19 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:19:19 	 CRITICAL 		 e-------------Live:

2015-07-13 18:19:43 	 CRITICAL 		 s-------------Live:

2015-07-13 18:19:44 	 ERROR 		 GsmInit ERROR

2015-07-13 18:19:44 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:19:44 	 CRITICAL 		 e-------------Live:

2015-07-13 18:20:08 	 CRITICAL 		 s-------------Live:

2015-07-13 18:20:09 	 ERROR 		 GsmInit ERROR

2015-07-13 18:20:09 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:20:09 	 CRITICAL 		 e-------------Live:

2015-07-13 18:20:34 	 CRITICAL 		 s-------------Live:

2015-07-13 18:20:35 	 ERROR 		 GsmInit ERROR

2015-07-13 18:20:35 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:20:35 	 CRITICAL 		 e-------------Live:

2015-07-13 18:20:59 	 CRITICAL 		 s-------------Live:

2015-07-13 18:21:00 	 ERROR 		 GsmInit ERROR

2015-07-13 18:21:00 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:21:00 	 CRITICAL 		 e-------------Live:

2015-07-13 18:21:25 	 CRITICAL 		 s-------------Live:

2015-07-13 18:21:26 	 ERROR 		 GsmInit ERROR

2015-07-13 18:21:26 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:21:26 	 CRITICAL 		 e-------------Live:

2015-07-13 18:21:50 	 CRITICAL 		 s-------------Live:

2015-07-13 18:21:51 	 ERROR 		 GsmInit ERROR

2015-07-13 18:21:51 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:21:51 	 CRITICAL 		 e-------------Live:

2015-07-13 18:22:16 	 CRITICAL 		 s-------------Live:

2015-07-13 18:22:17 	 ERROR 		 GsmInit ERROR

2015-07-13 18:22:17 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:22:17 	 CRITICAL 		 e-------------Live:

2015-07-13 18:22:41 	 CRITICAL 		 s-------------Live:

2015-07-13 18:22:42 	 ERROR 		 GsmInit ERROR

2015-07-13 18:22:42 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:22:42 	 CRITICAL 		 e-------------Live:

2015-07-13 18:23:07 	 CRITICAL 		 s-------------Live:

2015-07-13 18:23:08 	 ERROR 		 GsmInit ERROR

2015-07-13 18:23:08 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:23:08 	 CRITICAL 		 e-------------Live:

2015-07-13 18:23:32 	 CRITICAL 		 s-------------Live:

2015-07-13 18:23:33 	 ERROR 		 GsmInit ERROR

2015-07-13 18:23:33 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:23:33 	 CRITICAL 		 e-------------Live:

2015-07-13 18:23:58 	 CRITICAL 		 s-------------Live:

2015-07-13 18:23:59 	 ERROR 		 GsmInit ERROR

2015-07-13 18:23:59 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:23:59 	 CRITICAL 		 e-------------Live:

2015-07-13 18:24:24 	 CRITICAL 		 s-------------Live:

2015-07-13 18:24:25 	 ERROR 		 GsmInit ERROR

2015-07-13 18:24:25 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:24:25 	 CRITICAL 		 e-------------Live:

2015-07-13 18:24:49 	 CRITICAL 		 s-------------Live:

2015-07-13 18:24:50 	 ERROR 		 GsmInit ERROR

2015-07-13 18:24:50 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:24:50 	 CRITICAL 		 e-------------Live:

2015-07-13 18:25:15 	 CRITICAL 		 s-------------Live:

2015-07-13 18:25:16 	 ERROR 		 GsmInit ERROR

2015-07-13 18:25:16 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:25:16 	 CRITICAL 		 e-------------Live:

2015-07-13 18:25:41 	 CRITICAL 		 s-------------Live:

2015-07-13 18:25:42 	 ERROR 		 GsmInit ERROR

2015-07-13 18:25:42 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:25:42 	 CRITICAL 		 e-------------Live:

2015-07-13 18:26:06 	 CRITICAL 		 s-------------Live:

2015-07-13 18:26:07 	 ERROR 		 GsmInit ERROR

2015-07-13 18:26:07 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:26:07 	 CRITICAL 		 e-------------Live:

2015-07-13 18:26:32 	 CRITICAL 		 s-------------Live:

2015-07-13 18:26:33 	 ERROR 		 GsmInit ERROR

2015-07-13 18:26:33 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:26:33 	 CRITICAL 		 e-------------Live:

2015-07-13 18:26:58 	 CRITICAL 		 s-------------Live:

2015-07-13 18:26:59 	 ERROR 		 GsmInit ERROR

2015-07-13 18:26:59 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:26:59 	 CRITICAL 		 e-------------Live:

2015-07-13 18:27:24 	 CRITICAL 		 s-------------Live:

2015-07-13 18:27:25 	 ERROR 		 GsmInit ERROR

2015-07-13 18:27:25 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:27:25 	 CRITICAL 		 e-------------Live:

2015-07-13 18:27:50 	 CRITICAL 		 s-------------Live:

2015-07-13 18:27:51 	 ERROR 		 GsmInit ERROR

2015-07-13 18:27:51 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:27:51 	 CRITICAL 		 e-------------Live:

2015-07-13 18:28:15 	 CRITICAL 		 s-------------Live:

2015-07-13 18:28:16 	 ERROR 		 GsmInit ERROR

2015-07-13 18:28:16 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:28:16 	 CRITICAL 		 e-------------Live:

2015-07-13 18:28:41 	 CRITICAL 		 s-------------Live:

2015-07-13 18:28:42 	 ERROR 		 GsmInit ERROR

